lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
213,0,90.95,9,4,3,1,2,0,3,1
219,0,108.0,9,4,3,1,0,1,0,0
93,1,94.5,7,12,4,2,0,3,0,1
270,0,62.8,4,20,3,4,0,0,0,0
22,1,90.95,11,17,4,3,0,0,0,1
205,0,80.75,8,4,4,3,1,3,0,0
267,0,95.0,9,30,3,2,1,0,0,0
54,1,135.9,8,5,4,2,2,0,0,1
92,0,89.55,9,12,3,2,2,0,0,1
166,1,96.3,6,26,4,0,1,0,0,1
192,0,89.25,8,24,4,4,0,3,0,0
130,0,159.3,6,9,4,2,0,0,3,0
305,0,89.0,11,4,3,2,1,0,0,0
87,1,119.85,5,21,4,3,2,0,0,1
125,2,90.0,11,1,4,3,0,0,0,1
163,0,100.0,6,5,3,2,2,0,0,0
40,1,174.3,7,15,4,2,1,0,3,1
0,2,115.0,9,18,4,1,0,3,3,1
104,1,108.0,10,9,4,0,1,3,0,0
9,0,0.0,4,6,4,1,0,1,0,1
130,2,104.4,10,29,4,1,2,0,3,1
82,1,76.5,7,19,4,2,2,0,1,0
10,0,110.0,5,29,2,5,3,0,0,1
13,1,100.0,9,15,2,1,0,3,0,1
28,0,130.0,10,29,3,1,0,0,0,1
155,0,113.4,10,3,4,1,1,0,0,0
4,0,78.2,11,6,3,2,1,0,3,1
1,1,112.0,2,27,4,1,0,0,0,1
317,0,120.0,9,15,4,2,0,0,0,0
12,0,104.0,12,4,4,0,2,0,0,1
1,1,95.48,6,22,4,1,0,3,0,1
250,0,95.0,9,26,3,3,1,0,0,0
151,0,80.0,1,19,3,3,0,0,0,1
143,0,99.79,5,29,4,3,2,0,0,1
10,0,105.0,10,3,3,2,1,0,0,0
27,2,77.2,3,10,4,5,2,3,0,0
91,1,81.25,4,2,4,4,2,3,0,0
11,1,139.33,10,9,4,2,1,3,0,1
159,1,70.0,4,9,3,1,1,0,0,1
174,1,99.45,8,13,4,2,2,0,0,1
4,1,113.0,6,26,4,0,2,3,0,1
256,0,103.7,10,16,4,3,2,0,3,0
263,0,110.0,10,21,3,2,0,0,0,0
0,0,65.0,3,1,2,2,0,0,0,1
111,0,99.28,8,13,3,1,1,0,3,1
57,1,140.4,5,28,4,5,2,0,3,0
7,1,132.33,6,29,4,3,0,3,0,1
32,0,73.0,11,20,3,2,0,0,0,1
134,0,133.2,8,23,4,4,0,0,3,0
150,2,118.8,10,3,4,2,1,0,0,1
270,0,80.0,4,20,3,4,0,0,0,1
89,1,169.58,6,14,4,4,0,0,3,0
164,0,100.0,10,2,3,2,0,0,0,0
35,0,63.75,12,19,3,3,1,0,0,1
47,0,85.0,3,20,3,2,2,0,0,0
83,1,96.9,7,24,3,1,2,0,0,1
74,1,91.48,10,3,4,0,1,0,0,1
16,0,127.5,4,7,4,3,1,0,3,0
79,1,146.7,7,9,4,1,2,0,3,0
292,0,115.0,7,21,4,2,0,1,0,0
57,0,76.76,3,30,4,4,0,3,0,0
219,0,76.67,9,4,3,2,1,0,0,1
285,0,100.0,10,3,3,3,1,0,0,0
8,1,149.0,9,7,4,2,0,3,0,1
0,0,91.0,1,22,4,1,0,0,0,1
21,1,169.0,10,4,4,2,0,0,0,1
13,0,90.0,5,9,3,2,1,0,0,1
30,0,84.32,12,23,4,2,2,0,0,0
303,1,78.0,8,19,3,3,2,0,0,1
272,0,90.1,7,28,4,3,2,0,0,0
131,2,82.79,4,16,4,3,2,0,0,1
110,0,143.1,6,3,4,1,0,0,0,0
12,1,12.0,8,25,4,2,0,0,0,1
59,0,171.72,10,7,4,2,1,0,5,0
55,0,87.0,4,6,3,1,0,1,0,1
90,0,99.45,4,12,4,4,0,0,3,0
18,1,129.33,10,16,4,2,1,3,0,1
90,1,90.95,4,13,4,4,0,0,0,1
11,1,103.1,12,19,4,3,1,0,0,1
196,0,85.5,8,30,4,3,0,3,0,0
36,1,72.07,9,25,4,0,1,3,0,1
84,0,82.45,3,29,4,5,2,0,0,1
13,2,119.0,4,8,4,1,0,0,0,1
48,2,142.2,9,2,4,1,0,0,3,1
217,0,167.95,8,7,4,5,2,0,5,0
43,0,74.8,11,25,4,2,2,3,0,0
20,0,58.0,12,27,3,1,2,0,0,1
39,1,134.0,10,2,4,0,2,0,0,0
93,0,115.0,10,15,3,1,2,0,0,0
83,0,90.6,9,30,3,1,0,1,0,1
94,1,110.75,3,28,3,5,1,1,0,1
101,0,222.17,10,23,4,5,2,1,5,0
128,0,103.5,8,9,4,5,0,3,0,0
19,0,69.0,12,5,4,3,2,0,0,1
14,0,40.67,2,19,3,2,1,0,0,1
57,0,123.55,8,29,4,8,3,0,3,0
192,0,95.0,6,24,3,2,0,0,0,1
163,1,91.63,10,8,4,1,1,3,0,1
32,2,97.92,10,5,4,4,1,0,0,1
64,2,105.61,12,26,4,3,1,0,3,1
141,1,82.45,7,5,3,5,2,0,3,1
9,1,79.0,11,11,2,2,0,0,0,1
168,0,72.25,8,8,3,3,1,0,0,1
4,3,306.0,7,8,4,2,1,0,6,1
259,0,80.24,10,3,4,3,1,0,0,0
6,0,130.0,10,29,3,1,0,0,0,1
250,0,95.0,9,26,4,3,1,0,0,0
0,2,81.0,8,6,4,1,0,3,0,1
109,4,105.21,7,6,4,4,2,0,0,1
6,0,85.5,6,14,4,1,0,0,0,0
64,0,137.7,7,25,4,0,1,0,3,1
30,0,85.7,3,5,4,3,2,0,0,1
245,0,110.0,7,6,3,4,2,0,0,0
59,0,82.45,3,13,4,2,2,0,3,0
18,1,158.0,12,30,4,1,0,0,0,1
156,0,112.2,8,20,4,2,2,0,3,0
117,0,94.5,8,1,3,1,2,1,0,0
57,0,117.9,6,8,4,3,0,0,0,0
221,0,65.0,10,17,3,1,2,0,0,1
104,1,114.0,10,6,4,2,0,1,0,0
4,1,160.0,10,17,4,4,1,0,0,1
1,0,118.0,8,4,4,1,0,3,0,1
33,0,98.1,5,25,4,1,0,3,0,0
359,3,78.0,10,14,3,3,2,0,0,1
3,0,118.15,7,11,2,2,1,0,0,1
50,1,146.7,4,21,4,2,0,0,3,1
18,1,119.0,4,12,4,2,0,3,0,1
141,1,131.47,8,1,4,5,1,0,3,1
47,0,99.9,4,12,4,1,0,0,0,0
301,1,115.0,7,30,3,1,1,1,0,0
44,0,75.0,2,17,3,3,0,0,0,1
16,0,76.0,3,8,2,3,0,0,3,1
9,1,106.0,12,16,4,1,0,0,3,1
16,0,95.0,10,2,2,1,2,0,0,1
5,0,73.15,11,15,4,3,2,3,0,1
0,1,97.0,3,17,4,1,0,3,0,1
237,0,89.25,9,14,4,2,1,0,0,0
150,1,107.57,8,10,4,4,0,0,3,1
30,0,139.28,10,2,4,2,2,0,0,0
74,0,101.5,9,18,3,2,0,1,0,1
2,0,75.0,12,22,2,1,0,0,0,1
229,0,89.25,10,22,4,2,2,0,0,0
54,0,130.05,4,20,4,3,0,0,0,1
118,1,88.01,7,8,4,1,0,0,0,1
133,1,84.33,3,11,3,2,1,0,0,1
235,0,97.71,9,28,4,2,0,0,0,0
0,0,83.03,3,8,4,1,0,0,1,1
122,2,128.0,3,27,3,1,2,1,0,1
17,1,88.0,11,17,4,1,0,3,0,1
144,2,140.4,6,15,4,2,0,0,3,1
77,0,76.5,8,3,4,12,5,0,0,0
26,0,187.0,7,2,4,1,2,0,3,0
273,0,109.0,7,17,4,2,0,1,0,0
220,0,128.0,9,17,3,1,2,1,0,0
7,1,147.3,7,12,3,2,0,0,3,1
17,0,125.33,12,28,4,5,1,0,3,1
57,1,90.67,6,10,3,2,1,0,0,1
37,0,95.0,9,20,4,2,2,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
265,1,115.0,6,24,3,2,0,1,0,0
52,1,99.9,6,20,4,3,1,0,0,1
0,0,80.39,4,13,4,2,0,0,0,1
275,0,90.0,10,5,3,4,1,0,0,0
40,1,67.5,2,24,4,4,0,3,0,0
172,0,95.0,6,24,3,2,0,0,0,0
2,1,69.5,1,9,4,1,0,3,0,1
126,0,89.24,9,6,3,2,0,0,0,1
4,0,156.0,4,6,4,1,0,0,3,0
51,0,107.1,7,6,4,1,0,3,0,0
95,2,90.95,4,25,4,3,1,0,0,1
85,0,140.4,6,2,4,1,0,0,3,0
72,0,132.6,5,22,4,3,2,0,3,0
11,1,70.3,1,24,4,0,2,0,0,1
104,0,94.5,7,16,4,1,0,3,0,0
13,0,65.0,11,15,2,0,1,0,0,1
86,1,105.4,4,25,4,5,3,0,0,0
74,0,149.4,9,27,4,2,0,0,3,0
37,0,105.0,10,13,3,3,0,0,0,1
5,2,118.0,8,17,4,1,0,3,0,1
9,1,67.22,2,24,4,2,0,0,0,1
338,1,90.67,10,7,3,2,1,0,0,1
3,1,81.0,8,10,4,3,1,3,0,1
15,0,86.0,2,18,3,3,0,0,0,1
166,0,110.0,11,1,3,3,0,0,0,0
0,0,80.75,6,12,3,0,1,0,0,1
4,0,72.25,10,19,3,3,1,0,3,1
39,0,87.0,8,14,3,2,0,1,0,1
164,0,100.0,10,2,3,2,0,0,0,1
1,0,103.5,3,28,4,3,1,0,0,1
101,1,93.08,4,26,4,4,0,0,0,1
7,1,66.22,2,11,4,1,0,0,0,1
64,1,111.9,6,27,4,2,1,0,0,1
150,0,101.0,1,2,3,1,2,1,0,1
77,2,168.3,9,2,4,2,1,0,3,1
13,1,124.52,11,3,4,8,4,0,0,1
25,0,133.0,10,19,4,3,0,0,0,0
37,0,95.0,10,13,3,3,0,0,0,1
279,0,110.0,10,12,3,3,0,0,0,0
69,0,120.0,6,12,3,4,2,0,0,0
211,0,100.0,5,20,3,2,0,0,0,0
92,2,112.5,8,22,4,0,1,0,0,1
50,0,99.9,4,4,4,1,1,0,0,1
22,0,75.0,8,21,3,1,0,0,0,1
1,0,88.0,3,2,2,1,0,0,0,1
8,1,131.0,6,22,4,2,0,0,3,1
28,1,108.42,6,14,4,3,0,0,3,1
90,1,171.9,11,7,4,1,1,0,0,1
9,0,119.2,9,22,4,1,0,3,0,1
35,1,140.4,4,30,4,1,2,0,3,1
23,1,125.2,4,10,4,3,2,0,3,1
164,0,100.0,10,2,3,1,0,0,0,1
172,1,100.3,6,4,4,2,2,0,0,0
24,1,107.0,10,8,4,3,0,0,0,1
14,0,76.0,11,25,2,1,0,0,0,1
151,0,71.0,1,19,3,2,0,0,0,1
56,0,120.0,6,8,3,1,0,0,0,1
28,2,75.0,9,27,3,1,0,0,0,1
146,0,85.0,12,29,3,3,0,0,0,1
25,1,129.0,10,3,4,1,1,3,0,0
128,1,80.75,5,4,3,3,0,0,0,1
1,0,140.0,10,11,4,2,0,3,0,1
54,0,66.5,10,16,3,2,2,0,0,1
32,0,95.0,10,10,2,0,1,0,0,1
132,0,70.56,8,30,4,2,0,0,1,1
174,0,70.0,10,10,3,1,1,0,0,0
3,1,128.0,8,20,4,1,1,3,0,1
82,2,150.3,8,8,4,5,3,0,3,0
301,0,52.0,11,18,3,2,0,0,0,0
133,1,80.75,4,25,3,2,1,0,0,1
83,1,124.65,5,7,4,2,2,0,0,1
4,1,95.0,9,28,2,2,1,0,0,1
35,0,71.1,3,11,4,2,0,3,0,1
10,1,169.0,7,16,4,1,0,0,0,0
42,0,0.0,11,7,4,0,0,0,0,1
4,0,81.0,2,19,2,1,0,0,0,1
42,1,109.31,4,28,4,3,1,3,0,1
71,1,84.15,4,23,4,3,2,3,0,0
103,0,115.0,4,19,3,2,0,0,0,0
127,0,90.0,4,28,3,3,1,0,0,1
32,0,137.52,8,21,3,1,2,0,4,1
9,1,83.0,1,17,4,4,2,0,0,1
54,1,95.19,1,10,4,2,2,0,3,1
0,0,104.0,4,9,2,1,2,0,0,1
73,2,79.2,11,12,4,1,0,3,0,1
117,0,76.0,2,29,3,1,1,0,0,1
140,0,113.9,7,31,4,3,2,0,3,0
102,2,119.7,8,19,4,2,1,0,0,1
20,0,77.71,11,11,4,5,2,3,0,0
124,2,143.7,8,5,4,2,1,0,3,1
40,0,149.4,8,23,4,5,0,0,3,1
16,0,95.0,4,20,2,1,0,0,0,1
14,2,184.0,9,22,4,1,0,0,3,1
66,2,179.1,11,7,4,3,1,0,0,1
59,1,118.8,10,2,4,1,2,0,0,0
76,2,72.25,11,19,4,3,0,0,0,1
168,0,130.05,8,1,4,4,1,0,3,0
43,3,124.1,11,1,4,4,0,1,0,1
137,0,135.9,9,30,4,2,1,0,3,0
28,0,156.0,5,20,4,2,0,0,3,0
30,1,136.72,5,21,4,4,2,0,5,1
47,1,79.2,11,11,4,2,1,3,0,0
8,0,101.0,2,6,2,1,0,0,6,1
46,1,90.55,10,2,4,2,2,0,3,1
80,1,126.9,5,2,4,1,1,0,0,1
144,1,96.3,6,27,4,2,1,0,0,1
10,0,114.0,9,22,4,2,0,3,0,1
0,0,79.0,1,21,4,1,0,3,0,1
28,0,118.15,8,29,4,3,1,0,0,0
0,1,149.0,10,24,4,1,1,0,0,1
1,0,128.52,12,24,4,3,2,0,3,1
27,0,120.0,6,9,3,1,0,0,0,1
64,3,96.0,11,18,4,2,1,0,0,1
0,0,0.0,12,10,1,1,0,0,6,1
74,0,69.4,7,27,4,7,3,0,0,1
37,1,96.3,10,22,4,3,0,0,0,1
157,2,155.7,8,10,4,2,0,0,0,0
109,0,102.25,7,10,3,3,2,1,0,1
36,2,102.6,10,17,4,1,0,0,0,1
34,0,224.67,9,23,3,3,0,1,0,0
42,1,106.8,11,25,4,3,0,0,0,1
96,1,72.25,11,28,4,1,0,0,0,0
215,2,96.3,8,8,4,2,1,0,0,1
5,1,116.0,12,30,4,3,2,0,0,1
35,0,118.8,9,5,4,3,1,0,0,1
247,1,115.0,6,6,3,1,1,1,0,0
93,0,128.78,6,14,4,4,0,3,0,0
280,0,110.0,9,19,3,2,1,0,0,0
31,0,84.9,3,5,4,1,2,0,0,0
4,0,110.0,10,10,0,0,1,0,3,1
43,2,168.3,8,5,4,2,2,0,3,1
291,0,115.0,8,19,3,2,0,1,0,0
239,0,112.2,6,15,3,2,0,1,0,0
12,0,95.0,9,27,3,2,0,0,0,1
138,1,110.08,6,5,4,2,2,0,0,1
1,0,90.0,10,13,3,1,0,0,0,1
0,0,98.0,4,16,3,1,2,0,0,0
210,0,72.75,10,8,3,3,1,0,0,1
69,0,69.6,3,10,4,3,1,0,0,1
90,0,89.25,10,25,4,4,2,0,0,1
15,0,60.0,12,27,3,1,0,0,0,1
433,0,70.0,9,8,3,3,0,0,0,0
35,2,77.25,12,26,4,1,0,0,1,1
277,1,89.14,9,5,3,5,2,1,0,1
95,2,151.2,10,7,4,2,1,0,3,1
184,2,90.9,10,17,4,3,1,0,0,1
22,0,85.0,10,5,3,2,0,0,0,1
113,0,100.0,5,31,2,3,0,0,0,0
1,1,0.0,9,1,1,1,0,0,0,1
2,0,110.0,10,30,0,0,1,0,3,1
24,1,108.5,4,11,4,3,1,0,0,1
0,1,174.0,8,22,4,1,0,0,5,1
91,0,80.0,9,30,3,2,1,0,0,1
220,1,137.7,8,31,4,2,0,0,3,0
17,1,117.04,10,7,4,2,2,0,0,1
5,1,89.0,5,29,4,0,1,3,0,1
11,1,150.0,11,5,4,1,0,0,0,0
118,1,58.9,8,26,4,4,0,0,0,0
94,0,80.75,5,13,3,2,1,0,0,1
15,0,154.33,4,15,4,2,1,0,3,0
16,1,68.0,11,16,3,4,0,0,0,1
129,0,132.3,10,10,4,5,1,0,3,0
39,2,216.9,7,29,4,1,0,0,5,1
75,2,84.96,10,30,4,3,2,0,0,1
107,1,87.5,11,13,4,2,2,0,0,1
7,0,65.0,12,9,2,1,0,0,0,1
101,0,132.6,5,25,4,4,0,0,3,1
160,0,130.05,8,1,4,4,1,0,3,0
25,1,101.0,4,11,4,0,1,0,0,1
185,0,103.5,12,16,4,2,1,0,3,1
1,0,115.0,9,27,2,1,0,0,0,1
0,0,75.0,3,8,2,1,0,0,3,1
164,1,89.25,8,3,4,4,0,3,0,1
17,2,141.0,6,18,4,2,2,0,0,1
139,1,192.3,7,30,4,1,2,0,5,0
2,1,147.46,8,7,4,0,2,1,3,1
9,3,168.0,9,8,4,1,0,0,0,1
2,0,197.0,5,20,4,1,0,0,3,1
0,1,0.0,10,29,4,0,0,0,0,1
205,2,85.5,10,18,4,4,0,3,0,0
26,1,119.85,6,17,4,1,0,0,0,1
21,0,151.0,8,15,4,2,1,0,0,0
256,0,76.67,9,14,3,2,1,0,0,1
50,0,99.0,8,30,4,4,0,3,0,0
36,1,77.99,12,22,4,1,0,3,0,1
71,1,126.0,5,10,3,3,0,1,0,1
18,0,76.29,12,2,4,2,2,3,0,1
102,0,101.5,10,16,3,2,0,1,0,0
222,0,219.6,10,29,4,1,0,1,5,0
2,2,73.07,6,8,4,3,0,0,0,1
32,2,135.9,9,9,4,1,0,0,0,1
26,0,165.0,10,27,4,2,0,0,0,1
2,0,120.0,9,29,2,1,0,0,0,1
54,3,106.2,11,11,4,2,0,0,3,1
88,0,54.63,10,31,4,5,2,0,0,1
1,0,95.0,11,13,4,0,2,3,0,0
10,2,122.0,9,5,4,3,2,0,0,1
105,0,75.0,4,6,3,1,0,0,0,0
29,0,139.6,5,20,4,2,1,0,3,0
346,1,115.0,9,13,3,2,0,1,0,0
14,0,132.0,3,30,4,8,2,0,3,0
73,1,135.0,10,12,4,4,1,0,0,0
182,0,99.3,8,24,4,3,0,0,0,0
88,1,90.0,10,7,2,2,0,0,0,1
193,0,120.0,6,20,3,2,1,0,0,0
323,0,86.0,5,17,3,4,0,1,0,1
127,1,99.45,5,7,4,5,2,0,0,1
1,1,88.0,6,13,4,0,1,3,0,1
146,2,116.17,8,1,4,5,1,0,0,0
164,0,116.1,9,19,4,6,3,3,0,0
3,1,90.0,8,10,4,1,1,0,0,1
18,0,118.0,9,4,4,0,1,3,0,0
86,0,117.9,8,12,4,2,1,0,0,1
174,1,85.5,6,29,4,3,0,3,0,1
204,0,100.0,5,5,4,3,0,0,0,0
161,0,80.0,4,22,3,2,1,0,1,1
56,0,112.2,4,8,4,5,2,0,3,0
122,0,85.0,4,15,3,2,0,0,0,1
33,0,216.0,10,5,4,2,0,0,5,0
50,2,80.1,3,29,4,1,0,3,0,1
1,0,98.0,8,9,4,0,2,0,0,1
36,2,86.63,8,29,4,2,1,0,0,1
386,1,115.0,10,23,3,0,2,1,0,0
47,1,126.9,6,2,4,1,0,0,0,1
32,1,111.0,10,30,4,2,1,0,0,0
17,1,65.1,11,18,4,1,0,3,0,1
24,0,94.33,3,10,4,3,0,0,0,1
55,2,102.6,11,13,4,0,1,0,0,1
198,3,116.1,9,15,4,1,0,3,0,1
59,0,85.0,10,29,3,2,0,0,0,1
48,0,74.0,2,7,3,1,2,0,0,1
148,0,67.0,12,30,3,4,1,0,0,1
103,1,83.66,3,21,4,5,2,0,0,0
28,0,100.0,5,19,2,2,0,0,0,0
43,1,94.5,4,11,4,1,1,3,0,1
1,1,140.0,11,4,4,1,0,3,0,1
115,0,72.25,7,31,3,1,2,0,0,0
8,0,78.3,1,16,4,5,2,0,0,1
62,0,89.24,5,9,3,1,1,0,0,1
209,1,90.95,8,16,4,4,0,0,0,0
125,1,72.25,12,25,4,1,0,0,0,1
5,0,0.0,5,24,1,2,0,0,0,1
35,1,174.25,11,7,4,3,1,0,0,1
71,1,80.75,6,17,3,2,2,0,0,1
61,0,134.53,6,18,4,2,2,0,3,0
37,1,89.1,6,27,4,0,1,3,0,1
18,2,127.0,9,3,4,1,1,3,0,1
15,0,79.0,2,12,4,2,0,3,0,0
145,0,94.5,8,29,3,1,2,1,0,1
1,1,89.0,1,19,4,3,0,0,0,1
2,0,136.0,4,23,4,1,2,0,3,0
134,1,89.25,7,13,4,4,0,3,0,1
103,0,123.3,10,26,4,3,0,0,3,1
130,2,139.5,9,29,4,3,0,0,3,0
6,0,140.0,3,4,4,1,0,0,0,1
141,1,94.5,7,14,4,3,0,3,0,1
205,0,90.0,5,29,3,1,2,0,0,0
24,2,159.0,5,29,4,0,1,0,3,1
12,1,85.0,9,11,3,0,1,0,0,1
8,1,103.0,11,14,4,1,1,0,0,1
213,0,130.0,6,7,3,3,0,0,0,0
2,1,89.0,4,13,2,2,0,0,0,1
169,1,0.0,7,9,4,2,2,0,0,1
215,2,100.8,5,4,4,4,0,0,0,0
65,0,129.2,9,26,3,2,2,0,0,1
39,1,121.8,3,23,4,3,0,0,3,0
2,0,0.0,12,9,1,1,0,0,0,1
50,0,74.0,2,24,3,3,0,0,0,1
34,0,85.0,10,20,3,3,0,0,0,1
93,1,121.5,6,20,4,1,1,0,0,0
35,1,76.05,3,25,3,2,1,0,0,1
38,0,80.0,10,13,3,3,0,0,0,1
58,1,153.0,4,5,4,3,0,1,3,1
73,1,76.5,4,3,4,1,2,3,0,1
73,1,72.12,3,17,4,3,2,0,1,0
87,0,85.0,5,22,3,5,2,3,0,1
0,0,65.0,5,23,2,0,1,0,0,1
76,0,41.0,2,7,3,5,2,0,0,1
39,0,101.5,8,14,3,2,0,1,0,1
315,0,52.0,12,2,3,2,0,0,0,1
77,1,107.1,7,5,4,2,0,3,0,1
257,0,101.5,7,1,4,2,0,1,0,0
28,0,90.51,9,3,3,5,2,0,0,1
134,0,89.25,7,13,4,4,0,3,0,1
4,0,72.8,2,13,3,1,0,0,0,1
6,0,68.0,12,4,3,2,2,0,0,1
134,1,105.3,8,4,4,2,0,0,0,1
14,1,142.0,4,15,4,2,0,0,3,1
165,2,72.25,7,31,3,4,2,0,0,0
152,0,71.0,1,20,3,1,0,0,0,1
71,2,153.0,10,18,4,1,0,1,0,1
15,0,89.0,7,20,4,1,0,3,0,0
0,0,86.0,1,2,4,1,1,0,0,1
90,2,124.5,7,19,4,3,0,0,0,1
135,0,90.0,9,14,3,2,1,0,0,1
141,0,82.45,7,5,3,5,2,0,3,1
40,0,131.4,3,20,4,0,2,0,3,0
3,0,60.83,2,13,4,1,1,3,0,1
18,2,121.0,6,8,4,2,0,0,0,1
3,0,82.88,12,21,4,4,1,0,0,1
111,0,120.0,10,10,3,0,1,0,4,0
102,0,80.0,10,16,3,2,0,1,0,0
30,0,77.5,3,4,4,2,0,0,0,1
103,0,107.55,7,11,4,3,1,0,0,1
101,1,105.3,7,25,4,1,1,0,0,0
258,0,110.0,10,16,3,0,1,0,0,0
167,0,130.05,8,12,4,2,2,0,0,0
5,0,0.0,12,22,1,5,0,0,1,1
99,0,83.25,4,8,4,2,2,3,0,0
7,0,65.0,11,22,2,2,0,0,0,1
190,1,105.3,10,29,4,1,2,0,0,0
8,2,80.75,11,16,4,4,0,0,0,1
67,1,123.3,7,20,4,2,0,0,3,1
3,0,123.0,6,20,4,0,1,3,0,1
56,1,93.6,11,25,4,2,0,0,0,0
5,0,229.46,10,4,4,5,0,0,6,0
0,0,82.0,1,5,4,1,0,0,0,1
167,0,62.18,6,28,4,4,0,3,0,0
66,2,130.5,7,24,4,0,2,0,0,1
22,0,65.0,8,26,2,2,0,0,0,1
10,0,145.0,10,8,4,1,0,0,0,0
191,2,131.75,8,8,4,3,1,1,0,0
141,2,85.5,8,29,4,2,1,3,0,1
4,1,80.08,3,14,4,2,1,0,0,1
9,0,89.0,4,8,4,1,0,3,0,0
15,1,95.48,9,17,4,1,0,0,0,1
34,1,72.76,10,7,4,3,0,0,0,1
25,0,158.0,5,19,4,3,1,0,5,0
34,0,65.0,7,19,2,1,0,0,0,1
1,2,135.75,9,6,4,2,2,0,0,1
174,0,70.0,10,10,4,1,1,0,0,0
4,0,65.0,4,10,2,1,2,0,0,1
112,1,90.0,11,24,4,3,0,0,0,1
4,0,65.0,8,18,2,3,0,0,0,1
32,0,124.25,9,12,4,4,1,0,1,0
48,1,94.5,10,19,4,3,1,0,0,1
74,0,139.95,7,11,4,3,1,0,3,0
28,2,81.1,2,6,4,1,2,0,0,1
94,1,79.2,12,23,4,1,0,3,0,1
282,2,83.3,12,29,4,3,1,0,0,0
13,1,79.0,12,17,2,2,0,0,0,1
3,0,88.0,11,28,2,0,1,0,0,1
7,1,66.0,8,5,3,3,0,0,0,1
71,0,87.13,4,22,4,2,2,3,0,0
19,1,131.35,12,28,4,4,0,0,3,1
205,1,89.25,8,22,4,3,1,3,0,1
76,1,106.5,4,27,4,3,0,0,0,0
89,4,74.8,12,17,4,6,2,3,0,1
213,1,102.85,10,5,4,5,2,0,0,0
260,2,67.5,12,25,4,0,1,3,0,1
10,1,110.08,9,5,4,4,2,0,3,1
22,1,114.0,12,14,4,2,0,0,3,1
49,0,69.11,9,18,4,2,2,0,0,1
15,1,127.0,3,18,4,2,0,0,0,1
6,0,100.0,3,4,4,1,0,3,0,1
0,1,73.0,11,30,2,1,0,0,0,1
10,1,97.0,8,22,4,1,0,0,5,1
230,1,109.65,9,18,4,2,2,0,0,0
256,0,90.0,6,15,3,2,0,1,0,1
25,0,72.93,12,4,4,5,2,0,0,1
115,0,58.0,3,26,3,1,2,0,0,1
115,0,76.0,2,27,3,3,2,0,0,1
194,0,86.62,7,9,4,1,2,0,1,0
216,0,67.5,12,4,4,1,2,3,0,0
87,2,137.7,7,17,4,0,1,0,3,1
90,0,96.3,3,25,4,2,1,0,0,1
9,3,127.0,6,23,4,1,0,0,3,1
21,0,95.0,10,17,2,1,1,0,0,1
44,0,80.3,2,19,4,2,1,0,0,1
121,0,90.0,6,24,3,2,1,0,0,0
54,0,81.0,10,16,3,2,2,0,0,1
1,2,111.0,7,20,4,1,0,0,0,1
181,0,120.0,10,11,4,2,0,0,0,0
21,0,81.0,2,25,4,2,0,3,0,1
188,0,130.0,6,15,3,2,0,0,0,0
21,0,70.0,12,10,3,2,0,0,0,1
